date,open,high,low,close,volume,oi
10/09/1991,188.49,189.12,186.31,189.12,20989,0
10/10/1991,190.71,191.01,189.12,191.01,6638,0
10/11/1991,192.84,192.88,191.01,192.85,10981,0
10/14/1991,194.06,194.69,192.32,194.67,21493,0
10/15/1991,196.58,196.61,194.67,196.61,11002,0
10/16/1991,198.51,198.57,196.61,198.57,9562,0
10/17/1991,200.5,200.51,198.57,200.51,6077,0
10/18/1991,202.5,202.51,200.51,202.51,2968,0
10/21/1991,204.53,204.53,202.51,204.53,3537,0
10/22/1991,206.06,206.53,204.53,206.53,2128,0
10/23/1991,208.06,208.25,206.53,208.25,2623,0
10/24/1991,210.2,210.2,208.25,210.07,19357,0
10/25/1991,210.34,211.97,209.71,211.86,32650,0
10/28/1991,213.5,213.98,211.86,213.98,3217,0
10/29/1991,215.63,215.78,213.98,215.78,2697,0
10/30/1991,216.37,216.43,215.78,216.43,2380,0
10/31/1991,218.59,218.6,216.43,218.6,3929,0
11/01/1991,220.71,220.72,218.6,220.72,5906,0
11/04/1991,222.77,222.77,220.79,222.77,4474,0
11/05/1991,224.44,224.65,222.77,224.65,2805,0
11/06/1991,226.83,226.88,224.65,226.88,2848,0
11/07/1991,228.93,228.93,226.88,228.93,4833,0
11/08/1991,230.99,231.22,228.93,231.22,14406,0
11/11/1991,233.48,233.55,231.22,233.55,2474,0
11/12/1991,235.75,235.8,233.55,235.8,895,0
11/13/1991,236.51,236.67,235.8,236.67,799,0
11/14/1991,237.39,237.45,236.67,237.45,862,0
11/15/1991,238.25,238.25,237.45,238.25,2058,0
11/18/1991,240.04,240.62,238.25,240.62,1885,0
11/19/1991,242.24,242.24,240.62,242.24,2310,0
11/20/1991,244.5,244.5,242.24,244.5,2325,0
11/21/1991,246.26,246.31,244.5,246.31,2155,0
11/22/1991,248.24,248.53,246.31,248.53,2133,0
11/25/1991,250.84,250.85,248.53,250.85,2331,0
11/26/1991,252.9,252.97,250.85,252.97,2454,0
11/27/1991,255.27,255.45,252.97,255.45,2120,0
11/28/1991,257.28,257.35,255.45,257.35,2502,0
11/29/1991,259.68,259.85,257.35,259.6,33695,0
12/02/1991,261.78,262.19,259.67,262.19,19128,0
12/03/1991,264.64,264.81,262.19,264.81,1101,0
12/04/1991,265.53,265.77,264.81,265.77,742,0
12/05/1991,266.48,266.66,265.77,266.66,2050,0
12/06/1991,269.34,269.35,266.66,269.35,1613,0
12/09/1991,270.27,270.27,269.35,270.27,1631,0
12/10/1991,270.27,272.91,270.27,272.91,516,0
12/11/1991,273.53,273.71,272.91,273.71,669,0
